x-axis,IN,OUT
second,Volt,Volt
-63.46000E+00,+2.65430E+00,-14.18164E+00
-63.44000E+00,+2.65430E+00,-14.18164E+00
-63.42000E+00,+2.64453E+00,-14.18164E+00
-63.40000E+00,+2.63477E+00,-14.18164E+00
-63.38000E+00,+2.63477E+00,-14.18164E+00
-63.36000E+00,+2.62500E+00,-14.18164E+00
-63.34000E+00,+2.62500E+00,-14.18164E+00
-63.32000E+00,+2.61523E+00,-14.18164E+00
-63.30000E+00,+2.60547E+00,-14.18164E+00
-63.28000E+00,+2.60547E+00,-14.18164E+00
-63.26000E+00,+2.59570E+00,-14.18164E+00
-63.24000E+00,+2.59570E+00,-14.18164E+00
-63.22000E+00,+2.58594E+00,-14.18164E+00
-63.20000E+00,+2.57617E+00,-14.18164E+00
-63.18000E+00,+2.57617E+00,-14.18164E+00
-63.16000E+00,+2.56641E+00,-14.18164E+00
-63.14000E+00,+2.56641E+00,-14.18164E+00
-63.12000E+00,+2.55664E+00,-14.18164E+00
-63.10000E+00,+2.55664E+00,-14.18164E+00
-63.08000E+00,+2.54687E+00,-14.18164E+00
-63.06000E+00,+2.53711E+00,-14.18164E+00
-63.04000E+00,+2.52734E+00,-14.18164E+00
-63.02000E+00,+2.52734E+00,-14.18164E+00
-63.00000E+00,+2.51758E+00,-14.18164E+00
-62.98000E+00,+2.50781E+00,-14.18164E+00
-62.96000E+00,+2.50781E+00,-14.18164E+00
-62.94000E+00,+2.49805E+00,-14.18164E+00
-62.92000E+00,+2.48828E+00,-14.18164E+00
-62.90000E+00,+2.47852E+00,-14.18164E+00
-62.88000E+00,+2.47852E+00,-14.18164E+00
-62.86000E+00,+2.46875E+00,-14.18164E+00
-62.84000E+00,+2.45898E+00,-14.18164E+00
-62.82000E+00,+2.45898E+00,-14.18164E+00
-62.80000E+00,+2.44922E+00,-14.18164E+00
-62.78000E+00,+2.43945E+00,-14.18164E+00
-62.76000E+00,+2.43945E+00,-14.18164E+00
-62.74000E+00,+2.42969E+00,-14.18164E+00
-62.72000E+00,+2.41992E+00,-14.18164E+00
-62.70000E+00,+2.41016E+00,-14.18164E+00
-62.68000E+00,+2.41016E+00,-14.18164E+00
-62.66000E+00,+2.40039E+00,-14.18164E+00
-62.64000E+00,+2.39063E+00,-14.18164E+00
-62.62000E+00,+2.39062E+00,-14.18164E+00
-62.60000E+00,+2.38086E+00,-14.18164E+00
-62.58000E+00,+2.38086E+00,-14.18164E+00
-62.56000E+00,+2.37109E+00,-14.18164E+00
-62.54000E+00,+2.36133E+00,-14.18164E+00
-62.52000E+00,+2.35156E+00,-14.18164E+00
-62.50000E+00,+2.35156E+00,-14.18164E+00
-62.48000E+00,+2.34180E+00,-14.18164E+00
-62.46000E+00,+2.33203E+00,-14.18164E+00
-62.44000E+00,+2.33203E+00,-14.18164E+00
-62.42000E+00,+2.32227E+00,-14.18164E+00
-62.40000E+00,+2.31250E+00,-14.18164E+00
-62.38000E+00,+2.31250E+00,-14.18164E+00
-62.36000E+00,+2.30273E+00,-14.18164E+00
-62.34000E+00,+2.29297E+00,-14.18164E+00
-62.32000E+00,+2.29297E+00,-14.18164E+00
-62.30000E+00,+2.28320E+00,-14.18164E+00
-62.28000E+00,+2.27344E+00,-14.18164E+00
-62.26000E+00,+2.26367E+00,-14.18164E+00
-62.24000E+00,+2.26367E+00,-14.18164E+00
-62.22000E+00,+2.25391E+00,-14.18164E+00
-62.20000E+00,+2.24414E+00,-14.18164E+00
-62.18000E+00,+2.24414E+00,-14.18164E+00
-62.16000E+00,+2.23437E+00,-14.18164E+00
-62.14000E+00,+2.22461E+00,-14.18164E+00
-62.12000E+00,+2.22461E+00,-14.18164E+00
-62.10000E+00,+2.21484E+00,-14.18164E+00
-62.08000E+00,+2.21484E+00,-14.18164E+00
-62.06000E+00,+2.20508E+00,-14.18164E+00
-62.04000E+00,+2.19531E+00,-14.18164E+00
-62.02000E+00,+2.18555E+00,-14.18164E+00
-62.00000E+00,+2.18555E+00,-14.18164E+00
-61.98000E+00,+2.17578E+00,-14.18164E+00
-61.96000E+00,+2.16602E+00,-14.18164E+00
-61.94000E+00,+2.16602E+00,-14.18164E+00
-61.92000E+00,+2.15625E+00,-14.18164E+00
-61.90000E+00,+2.15625E+00,-14.18164E+00
-61.88000E+00,+2.14648E+00,-14.18164E+00
-61.86000E+00,+2.13672E+00,-14.18164E+00
-61.84000E+00,+2.13672E+00,-14.18164E+00
-61.82000E+00,+2.12695E+00,-14.18164E+00
-61.80000E+00,+2.11719E+00,-14.18164E+00
-61.78000E+00,+2.11719E+00,-14.18164E+00
-61.76000E+00,+2.10742E+00,-14.18164E+00
-61.74000E+00,+2.09766E+00,-14.18164E+00
-61.72000E+00,+2.09766E+00,-14.18164E+00
-61.70000E+00,+2.08789E+00,-14.18164E+00
-61.68000E+00,+2.07813E+00,-14.18164E+00
-61.66000E+00,+2.07812E+00,-14.18164E+00
-61.64000E+00,+2.06836E+00,-14.18164E+00
-61.62000E+00,+2.05859E+00,-14.18164E+00
-61.60000E+00,+2.05859E+00,-14.18164E+00
-61.58000E+00,+2.04883E+00,-14.18164E+00
-61.56000E+00,+2.03906E+00,-14.18164E+00
-61.54000E+00,+2.03906E+00,-14.18164E+00
-61.52000E+00,+2.02930E+00,-14.18164E+00
-61.50000E+00,+2.01953E+00,-14.17188E+00
-61.48000E+00,+2.01953E+00,-14.18164E+00
-61.46000E+00,+2.00977E+00,-14.18164E+00
-61.44000E+00,+2.00000E+00,-14.18164E+00
-61.42000E+00,+1.99023E+00,-14.18164E+00
-61.40000E+00,+1.99023E+00,-14.18164E+00
-61.38000E+00,+1.98047E+00,-14.18164E+00
-61.36000E+00,+1.97070E+00,-14.18164E+00
