Freq.	V(vin)/I(R5)
4.00000000000000e+004	(7.39391657808990e+001dB,1.75119642557776e+002°)
4.09317196912302e+004	(7.39392755140786e+001dB,1.75004586916594e+002°)
4.18851419220360e+004	(7.39393874006710e+001dB,1.74886754911354e+002°)
4.28607722095043e+004	(7.39395012548784e+001dB,1.74766075239999e+002°)
4.38591278457274e+004	(7.39396168550087e+001dB,1.74642474496824e+002°)
4.48807381720785e+004	(7.39397339392511e+001dB,1.74515877095620e+002°)
4.59261448598753e+004	(7.39398522010217e+001dB,1.74386205189479e+002°)
4.69959021975812e+004	(7.39399712838370e+001dB,1.74253378587142e+002°)
4.80905773846965e+004	(7.39400907756722e+001dB,1.74117314665755e+002°)
4.92107508324952e+004	(7.39402102027552e+001dB,1.73977928279894e+002°)
5.03570164717667e+004	(7.39403290227442e+001dB,1.73835131666740e+002°)
5.15299820677253e+004	(7.39404466172312e+001dB,1.73688834347250e+002°)
5.27302695422563e+004	(7.39405622835109e+001dB,1.73538943023231e+002°)
5.39585153036661e+004	(7.39406752255462e+001dB,1.73385361470158e+002°)
5.52153705841154e+004	(7.39407845440577e+001dB,1.73227990425664e+002°)
5.65015017849102e+004	(7.39408892256601e+001dB,1.73066727473570e+002°)
5.78175908298371e+004	(7.39409881309564e+001dB,1.72901466923369e+002°)
5.91643355267283e+004	(7.39410799815014e+001dB,1.72732099685107e+002°)
6.05424499374483e+004	(7.39411633455320e+001dB,1.72558513139586e+002°)
6.19526647564992e+004	(7.39412366223565e+001dB,1.72380591003864e+002°)
6.33957276984445e+004	(7.39412980252889e+001dB,1.72198213192046e+002°)
6.48724038943572e+004	(7.39413455630002e+001dB,1.72011255671399e+002°)
6.63834762975024e+004	(7.39413770191533e+001dB,1.71819590313839e+002°)
6.79297460984697e+004	(7.39413899301781e+001dB,1.71623084742930e+002°)
6.95120331499750e+004	(7.39413815610288e+001dB,1.71421602176518e+002°)
7.11311764015569e+004	(7.39413488787607e+001dB,1.71215001265265e+002°)
7.27880343443993e+004	(7.39412885237460e+001dB,1.71003135927334e+002°)
7.44834854665146e+004	(7.39411967783423e+001dB,1.70785855179631e+002°)
7.62184287185298e+004	(7.39410695328094e+001dB,1.70563002966041e+002°)
7.79937839903218e+004	(7.39409022482638e+001dB,1.70334417983237e+002°)
7.98104925987551e+004	(7.39406899164407e+001dB,1.70099933504741e+002°)
8.16695177867811e+004	(7.39404270160284e+001dB,1.69859377204059e+002°)
8.35718452341615e+004	(7.39401074653196e+001dB,1.69612570977845e+002°)
8.55184835800892e+004	(7.39397245709179e+001dB,1.69359330770247e+002°)
8.75104649579820e+004	(7.39392709722229e+001dB,1.69099466399740e+002°)
8.95488455427335e+004	(7.39387385814073e+001dB,1.68832781390011e+002°)
9.16347061107108e+004	(7.39381185185880e+001dB,1.68559072806634e+002°)
9.37691526127968e+004	(7.39374010418887e+001dB,1.68278131101604e+002°)
9.59533167607795e+004	(7.39365754720793e+001dB,1.67989739968035e+002°)
9.81883566274011e+004	(7.39356301114794e+001dB,1.67693676207672e+002°)
1.00475457260383e+005	(7.39345521568082e+001dB,1.67389709614219e+002°)
1.02815831310754e+005	(7.39333276056681e+001dB,1.67077602875861e+002°)
1.05210719675815e+005	(7.39319411563567e+001dB,1.66757111500783e+002°)
1.07661392157076e+005	(7.39303761007151e+001dB,1.66427983769944e+002°)
1.10169148133527e+005	(7.39286142097401e+001dB,1.66089960721856e+002°)
1.12735317250578e+005	(7.39266356117174e+001dB,1.65742776174643e+002°)
1.15361260125064e+005	(7.39244186626662e+001dB,1.65386156791228e+002°)
1.18048369066655e+005	(7.39219398089388e+001dB,1.65019822194072e+002°)
1.20798068816080e+005	(7.39191734418729e+001dB,1.64643485136548e+002°)
1.23611817300543e+005	(7.39160917444738e+001dB,1.64256851738659e+002°)
1.26491106406735e+005	(7.39126645301886e+001dB,1.63859621795483e+002°)
1.29437462771851e+005	(7.39088590739473e+001dB,1.63451489167445e+002°)
1.32452448593036e+005	(7.39046399357707e+001dB,1.63032142262155e+002°)
1.35537662455681e+005	(7.38999687773954e+001dB,1.62601264618242e+002°)
1.38694740181012e+005	(7.38948041725443e+001dB,1.62158535602269e+002°)
1.41925355693430e+005	(7.38891014116672e+001dB,1.61703631230358e+002°)
1.45231221908040e+005	(7.38828123022113e+001dB,1.61236225126705e+002°)
1.48614091638869e+005	(7.38758849657380e+001dB,1.60755989631518e+002°)
1.52075758528224e+005	(7.38682636334961e+001dB,1.60262597071213e+002°)
1.55618057997712e+005	(7.38598884423850e+001dB,1.59755721203725e+002°)
1.59242868221399e+005	(7.38506952335971e+001dB,1.59235038851649e+002°)
1.62952111121645e+005	(7.38406153566187e+001dB,1.58700231735488e+002°)
1.66747753388134e+005	(7.38295754816815e+001dB,1.58150988518469e+002°)
1.70631807520637e+005	(7.38174974242037e+001dB,1.57587007073212e+002°)
1.74606332896066e+005	(7.38042979852159e+001dB,1.57007996978887e+002°)
1.78673436860385e+005	(7.37898888122442e+001dB,1.56413682255281e+002°)
1.82835275845950e+005	(7.37741762855952e+001dB,1.55803804337400e+002°)
1.87094056514879e+005	(7.37570614354517e+001dB,1.55178125290800e+002°)
1.91452036929055e+005	(7.37384398956203e+001dB,1.54536431263622e+002°)
1.95911527747378e+005	(7.37182019001628e+001dB,1.53878536166392e+002°)
2.00474893450908e+005	(7.36962323294562e+001dB,1.53204285564889e+002°)
2.05144553596545e+005	(7.36724108124505e+001dB,1.52513560764873e+002°)
2.09922984099908e+005	(7.36466118919872e+001dB,1.51806283060146e+002°)
2.14812718548101e+005	(7.36187052599817e+001dB,1.51082418107445e+002°)
2.19816349543049e+005	(7.35885560690258e+001dB,1.50341980383042e+002°)
2.24936530076139e+005	(7.35560253264964e+001dB,1.49585037666938e+002°)
2.30175974934862e+005	(7.35209703765372e+001dB,1.48811715491264e+002°)
2.35537462142235e+005	(7.34832454742830e+001dB,1.48022201480366e+002°)
2.41023834429742e+005	(7.34427024553987e+001dB,1.47216749501262e+002°)
2.46638000744592e+005	(7.33991915023962e+001dB,1.46395683535215e+002°)
2.52382937792077e+005	(7.33525620072758e+001dB,1.45559401174460e+002°)
2.58261691613861e+005	(7.33026635278214e+001dB,1.44708376643152e+002°)
2.64277379203038e+005	(7.32493468323940e+001dB,1.43843163238870e+002°)
2.70433190156792e+005	(7.31924650253747e+001dB,1.42964395091046e+002°)
