Freq.	V(vout)
4.00000000000000e+004	(-4.06255381870117e-002dB,1.73038864443556e+002°)
4.09317196912302e+004	(-4.25197914900694e-002dB,1.72877455282605e+002°)
4.18851419220360e+004	(-4.45025778518723e-002dB,1.72712338720450e+002°)
4.28607722095043e+004	(-4.65779989478254e-002dB,1.72543432095905e+002°)
4.38591278457274e+004	(-4.87503430307656e-002dB,1.72370651081186e+002°)
4.48807381720785e+004	(-5.10240930891264e-002dB,1.72193909660945e+002°)
4.59261448598753e+004	(-5.34039353305827e-002dB,1.72013120112016e+002°)
4.69959021975812e+004	(-5.58947680009622e-002dB,1.71828192983968e+002°)
4.80905773846965e+004	(-5.85017105481952e-002dB,1.71639037080557e+002°)
4.92107508324952e+004	(-6.12301131414028e-002dB,1.71445559442196e+002°)
5.03570164717667e+004	(-6.40855665547137e-002dB,1.71247665329538e+002°)
5.15299820677253e+004	(-6.70739124255538e-002dB,1.71045258208312e+002°)
5.27302695422563e+004	(-7.02012538966659e-002dB,1.70838239735537e+002°)
5.39585153036661e+004	(-7.34739666512075e-002dB,1.70626509747242e+002°)
5.52153705841154e+004	(-7.68987103495459e-002dB,1.70409966247850e+002°)
5.65015017849102e+004	(-8.04824404762343e-002dB,1.70188505401380e+002°)
5.78175908298371e+004	(-8.42324206051325e-002dB,1.69962021524627e+002°)
5.91643355267283e+004	(-8.81562350898021e-002dB,1.69730407082498e+002°)
6.05424499374483e+004	(-9.22618021859098e-002dB,1.69493552685698e+002°)
6.19526647564992e+004	(-9.65573876115036e-002dB,1.69251347090949e+002°)
6.33957276984445e+004	(-1.01051618549823e-001dB,1.69003677203952e+002°)
6.48724038943572e+004	(-1.05753498098776e-001dB,1.68750428085323e+002°)
6.63834762975024e+004	(-1.10672420169358e-001dB,1.68491482959721e+002°)
6.79297460984697e+004	(-1.15818184834655e-001dB,1.68226723228403e+002°)
6.95120331499750e+004	(-1.21201014128873e-001dB,1.67956028485489e+002°)
7.11311764015569e+004	(-1.26831568294667e-001dB,1.67679276538165e+002°)
7.27880343443993e+004	(-1.32720962474797e-001dB,1.67396343431136e+002°)
7.44834854665146e+004	(-1.38880783842335e-001dB,1.67107103475600e+002°)
7.62184287185298e+004	(-1.45323109160993e-001dB,1.66811429283047e+002°)
7.79937839903218e+004	(-1.52060522765089e-001dB,1.66509191804215e+002°)
7.98104925987551e+004	(-1.59106134945200e-001dB,1.66200260373511e+002°)
8.16695177867811e+004	(-1.66473600723319e-001dB,1.65884502759241e+002°)
8.35718452341615e+004	(-1.74177138997179e-001dB,1.65561785220014e+002°)
8.55184835800892e+004	(-1.82231552030580e-001dB,1.65231972567652e+002°)
8.75104649579820e+004	(-1.90652245261948e-001dB,1.64894928237006e+002°)
8.95488455427335e+004	(-1.99455247399698e-001dB,1.64550514363039e+002°)
9.16347061107108e+004	(-2.08657230768116e-001dB,1.64198591865569e+002°)
9.37691526127968e+004	(-2.18275531862704e-001dB,1.63839020542056e+002°)
9.59533167607795e+004	(-2.28328172068766e-001dB,1.63471659168852e+002°)
9.81883566274011e+004	(-2.38833878491436e-001dB,1.63096365611286e+002°)
1.00475457260383e+005	(-2.49812104839461e-001dB,1.62712996943004e+002°)
1.02815831310754e+005	(-2.61283052298855e-001dB,1.62321409574960e+002°)
