1,5.09,1.63,0
15,5.06,1.55,-18
20,5,1.48,-24
25,5.03,1.41,-30
35,5,1.28,-37
40,5,1.2,-40
45,5,1.13,-45
46,5,1.11,315
47,5,1.1,-46
48,5,1.087,312
100,5,0.656,-63
150,5,0.463,-68
200,5,0.363,-70
250,5,0.283,-70
300,5,0.241,-70
350,5,0.208,-70
400,4.47,0.183,-68
450,4.97,0.064,-67
500,5,0.152,-66
700,4.94,0.114,-60
800,4.97,0.1,-56
900,4.97,0.091,-54
1000,4.97,0.085,-51
1500,9,0.119,-40
2000,9,0.105,-30
2500,8.9,0.097,-22
3000,8.81,0.029,-10
4000,8.56,0.027,0
5000,8.31,0.026,7
6000,8,0.025,13
7000,14.2,0.043,18
8000,12.94,0.0425,23
9000,12.37,0.041,26
10000,11.81,0.041,31
