Freq.	V(vin)/I(R5)
5.00000000000000e+004	(1.02541519743312e+002dB,1.55053669938518e+002°)
5.11646496140377e+004	(1.02505253250363e+002dB,1.54545442825717e+002°)
5.23564274025450e+004	(1.02467599394476e+002dB,1.54029785204685e+002°)
5.35759652618803e+004	(1.02428517771650e+002dB,1.53506758010392e+002°)
5.48239098071593e+004	(1.02387967767026e+002dB,1.52976432808482e+002°)
5.61009227150982e+004	(1.02345908631264e+002dB,1.52438892101379e+002°)
5.74076810748441e+004	(1.02302299561732e+002dB,1.51894229610706e+002°)
5.87448777469765e+004	(1.02257099788404e+002dB,1.51342550532870e+002°)
6.01132217308706e+004	(1.02210268664275e+002dB,1.50783971764636e+002°)
6.15134385406191e+004	(1.02161765760070e+002dB,1.50218622095527e+002°)
6.29462705897084e+004	(1.02111550962960e+002dB,1.49646642363899e+002°)
6.44124775846567e+004	(1.02059584578980e+002dB,1.49068185573648e+002°)
6.59128369278203e+004	(1.02005827438726e+002dB,1.48483416968585e+002°)
6.74481441295827e+004	(1.01950241005934e+002dB,1.47892514061682e+002°)
6.90192132301442e+004	(1.01892787488423e+002dB,1.47295666616595e+002°)
7.06268772311377e+004	(1.01833429950879e+002dB,1.46693076579098e+002°)
7.22719885372963e+004	(1.01772132428888e+002dB,1.46084957956348e+002°)
7.39554194084103e+004	(1.01708860043584e+002dB,1.45471536642224e+002°)
7.56780624218104e+004	(1.01643579116250e+002dB,1.44853050187360e+002°)
7.74408309456240e+004	(1.01576257282151e+002dB,1.44229747512877e+002°)
7.92446596230556e+004	(1.01506863602882e+002dB,1.43601888567282e+002°)
8.10905048679465e+004	(1.01435368676458e+002dB,1.42969743926447e+002°)
8.29793453718780e+004	(1.01361744744384e+002dB,1.42333594337105e+002°)
8.49121826230872e+004	(1.01285965794935e+002dB,1.41693730204787e+002°)
8.68900414374687e+004	(1.01208007661851e+002dB,1.41050451027671e+002°)
8.89139705019461e+004	(1.01127848117718e+002dB,1.40404064778345e+002°)
9.09850429304991e+004	(1.01045466961264e+002dB,1.39754887236013e+002°)
9.31043568331433e+004	(1.00960846097889e+002dB,1.39103241272187e+002°)
9.52730358981623e+004	(1.00873969612750e+002dB,1.38449456093429e+002°)
9.74922299879022e+004	(1.00784823835784e+002dB,1.37793866445159e+002°)
9.97631157484439e+004	(1.00693397398125e+002dB,1.37136811780995e+002°)
1.02086897233476e+005	(1.00599681279411e+002dB,1.36478635402480e+002°)
1.04464806542702e+005	(1.00503668845574e+002dB,1.35819683574401e+002°)
1.06898104475112e+005	(1.00405355876780e+002dB,1.35160304621183e+002°)
1.09388081197478e+005	(1.00304740585264e+002dB,1.34500848010067e+002°)
1.11936056928417e+005	(1.00201823622900e+002dB,1.33841663426953e+002°)
1.14543382638389e+005	(1.00096608078452e+002dB,1.33183099850846e+002°)
1.17211440765996e+005	(9.99890994645052e+001dB,1.32525504632902e+002°)
1.19941645950974e+005	(9.98793056942226e+001dB,1.31869222585964e+002°)
1.22735445784251e+005	(9.97672370481138e+001dB,1.31214595090418e+002°)
1.25594321575479e+005	(9.96529061311228e+001dB,1.30561959221926e+002°)
1.28519789138443e+005	(9.95363278204093e+001dB,1.29911646906420e+002°)
1.31513399594769e+005	(9.94175192042796e+001dB,1.29263984107347e+002°)
1.34576740196346e+005	(9.92964995127939e+001dB,1.28619290049840e+002°)
1.37711435166908e+005	(9.91732900406385e+001dB,1.27977876486033e+002°)
1.40919146563223e+005	(9.90479140629072e+001dB,1.27340047005311e+002°)
1.44201575156330e+005	(9.89203967444797e+001dB,1.26706096392769e+002°)
1.47560461333319e+005	(9.87907650437240e+001dB,1.26076310038665e+002°)
1.50997586020101e+005	(9.86590476112726e+001dB,1.25450963401104e+002°)
1.54514771625679e+005	(9.85252746846418e+001dB,1.24830321523683e+002°)
1.58113883008419e+005	(9.83894779794705e+001dB,1.24214638609258e+002°)
1.61796828464814e+005	(9.82516905781522e+001dB,1.23604157650517e+002°)
1.65565560741295e+005	(9.81119468166249e+001dB,1.22999110117497e+002°)
1.69422078069601e+005	(9.79702821700655e+001dB,1.22399715701720e+002°)
1.73368425226266e+005	(9.78267331382072e+001dB,1.21806182116174e+002°)
1.77406694616787e+005	(9.76813371309717e+001dB,1.21218704949922e+002°)
1.81539027385050e+005	(9.75341323550634e+001dB,1.20637467575762e+002°)
1.85767614548586e+005	(9.73851577021370e+001dB,1.20062641108998e+002°)
1.90094698160280e+005	(9.72344526390988e+001dB,1.19494384415085e+002°)
1.94522572497140e+005	(9.70820571010549e+001dB,1.18932844163669e+002°)
1.99053585276748e+005	(9.69280113873675e+001dB,1.18378154926282e+002°)
2.03690138902056e+005	(9.67723560612299e+001dB,1.17830439314837e+002°)
2.08434691735167e+005	(9.66151318531124e+001dB,1.17289808157890e+002°)
2.13289759400796e+005	(9.64563795683863e+001dB,1.16756360711571e+002°)
2.18257916120083e+005	(9.62961399993739e+001dB,1.16230184902019e+002°)
2.23341796075481e+005	(9.61344538420283e+001dB,1.15711357596148e+002°)
2.28544094807437e+005	(9.59713616173933e+001dB,1.15199944897585e+002°)
2.33867570643599e+005	(9.58069035979527e+001dB,1.14696002464655e+002°)
2.39315046161319e+005	(9.56411197389309e+001dB,1.14199575847376e+002°)
2.44889409684223e+005	(9.54740496145709e+001dB,1.13710700840507e+002°)
2.50593616813636e+005	(9.53057323593761e+001dB,1.13229403849804e+002°)
2.56430691995682e+005	(9.51362066142695e+001dB,1.12755702268788e+002°)
2.62403730124886e+005	(9.49655104775965e+001dB,1.12289604863446e+002°)
2.68515898185126e+005	(9.47936814608665e+001dB,1.11831112162443e+002°)
2.74770436928812e+005	(9.46207564491106e+001dB,1.11380216850616e+002°)
2.81170662595174e+005	(9.44467716657086e+001dB,1.10936904163628e+002°)
2.87719968668578e+005	(9.42717626415245e+001dB,1.10501152281875e+002°)
2.94421827677794e+005	(9.40957641881748e+001dB,1.10072932721888e+002°)
3.01279793037178e+005	(9.39188103752446e+001dB,1.09652210723632e+002°)
3.08297500930740e+005	(9.37409345112560e+001dB,1.09238945632274e+002°)
3.15478672240096e+005	(9.35621691281902e+001dB,1.08833091273149e+002°)
3.22827114517327e+005	(9.33825459693593e+001dB,1.08434596318800e+002°)
3.30346724003797e+005	(9.32020959804241e+001dB,1.08043404647115e+002°)
3.38041487695990e+005	(9.30208493033521e+001dB,1.07659455689718e+002°)
3.45915485459467e+005	(9.28388352731148e+001dB,1.07282684769909e+002°)
3.53972892192068e+005	(9.26560824169234e+001dB,1.06913023429552e+002°)
3.62217980037494e+005	(9.24726184558096e+001dB,1.06550399744430e+002°)
3.70655120650458e+005	(9.22884703083618e+001dB,1.06194738627701e+002°)
3.79288787514591e+005	(9.21036640964323e+001dB,1.05845962121145e+002°)
3.88123558314345e+005	(9.19182251526403e+001dB,1.05503989674020e+002°)
3.97164117362140e+005	(9.17321780295020e+001dB,1.05168738409392e+002°)
4.06415258082049e+005	(9.15455465100239e+001dB,1.04840123377873e+002°)
4.15881885551334e+005	(9.13583536196084e+001dB,1.04518057798771e+002°)
4.25569019101187e+005	(9.11706216391237e+001dB,1.04202453288694e+002°)
4.35481794978039e+005	(9.09823721189998e+001dB,1.03893220077709e+002°)
4.45625469066872e+005	(9.07936258942211e+001dB,1.03590267213163e+002°)
4.56005419677954e+005	(9.06044031000900e+001dB,1.03293502751344e+002°)
4.66627150398494e+005	(9.04147231886465e+001dB,1.03002833937143e+002°)
4.77496293010717e+005	(9.02246049456321e+001dB,1.02718167371929e+002°)
4.88618610477904e+005	(9.00340665078930e+001dB,1.02439409169827e+002°)
4.99999999999999e+005	(8.98431253811243e+001dB,1.02166465102652e+002°)
5.11646496140376e+005	(8.96517984578573e+001dB,1.01899240733686e+002°)
5.23564274025448e+005	(8.94601020356000e+001dB,1.01637641540558e+002°)
5.35759652618802e+005	(8.92680518350400e+001dB,1.01381573027450e+002°)
5.48239098071591e+005	(8.90756630182217e+001dB,1.01130940826859e+002°)
5.61009227150980e+005	(8.88829502066114e+001dB,1.00885650791167e+002°)
5.74076810748440e+005	(8.86899274989618e+001dB,1.00645609074250e+002°)
5.87448777469763e+005	(8.84966084888869e+001dB,1.00410722203401e+002°)
6.01132217308705e+005	(8.83030062820566e+001dB,1.00180897141823e+002°)
6.15134385406189e+005	(8.81091335129160e+001dB,9.99560413420134e+001°)
6.29462705897082e+005	(8.79150023608313e+001dB,9.97360627903530e+001°)
6.44124775846565e+005	(8.77206245655615e+001dB,9.95208700432978e+001°)
6.59128369278201e+005	(8.75260114419477e+001dB,9.93103722556184e+001°)
6.74481441295825e+005	(8.73311738937125e+001dB,9.91044792012102e+001°)
6.90192132301440e+005	(8.71361224262553e+001dB,9.89031012871002e+001°)
7.06268772311375e+005	(8.69408671583321e+001dB,9.87061495613951e+001°)
7.22719885372961e+005	(8.67454178325079e+001dB,9.85135357160472e+001°)
7.39554194084101e+005	(8.65497838242773e+001dB,9.83251720854781e+001°)
7.56780624218101e+005	(8.63539741497564e+001dB,9.81409716422680e+001°)
7.74408309456238e+005	(8.61579974718713e+001dB,9.79608479913055e+001°)
7.92446596230554e+005	(8.59618621049855e+001dB,9.77847153639810e+001°)
8.10905048679462e+005	(8.57655760179453e+001dB,9.76124886141894e+001°)
8.29793453718777e+005	(8.55691468355628e+001dB,9.74440832180706e+001°)
8.49121826230869e+005	(8.53725818386054e+001dB,9.72794152795477e+001°)
8.68900414374684e+005	(8.51758879624229e+001dB,9.71184015437892e+001°)
8.89139705019458e+005	(8.49790717944112e+001dB,9.69609594207239e+001°)
9.09850429304988e+005	(8.47821395705878e+001dB,9.68070070206299e+001°)
9.31043568331430e+005	(8.45850971716325e+001dB,9.66564632035993e+001°)
9.52730358981620e+005	(8.43879501188250e+001dB,9.65092476443177e+001°)
9.74922299879019e+005	(8.41907035703827e+001dB,9.63652809130931e+001°)
9.97631157484436e+005	(8.39933623187610e+001dB,9.62244845734079e+001°)
1.02086897233476e+006	(8.37959307895159e+001dB,9.60867812954759e+001°)
1.04464806542702e+006	(8.35984130423406e+001dB,9.59520949843796e+001°)
1.06898104475111e+006	(8.34008127748666e+001dB,9.58203509203903e+001°)
1.09388081197477e+006	(8.32031333297569e+001dB,9.56914759080892e+001°)
1.11936056928417e+006	(8.30053777055198e+001dB,9.55653984299905e+001°)
1.14543382638388e+006	(8.28075485713317e+001dB,9.54420487995848e+001°)
1.17211440765996e+006	(8.26096482859803e+001dB,9.53213593081628e+001°)
1.19941645950974e+006	(8.24116789208416e+001dB,9.52032643595140e+001°)
1.22735445784251e+006	(8.22136422865905e+001dB,9.50877005866649e+001°)
1.25594321575478e+006	(8.20155399631326e+001dB,9.49746069452745e+001°)
1.28519789138443e+006	(8.18173733320542e+001dB,9.48639247791104e+001°)
1.31513399594769e+006	(8.16191436107291e+001dB,9.47555978541669e+001°)
1.34576740196345e+006	(8.14208518871110e+001dB,9.46495723593748e+001°)
1.37711435166908e+006	(8.12224991541879e+001dB,9.45457968733900e+001°)
1.40919146563222e+006	(8.10240863430878e+001dB,9.44442222985277e+001°)
1.44201575156330e+006	(8.08256143538935e+001dB,9.43448017644012e+001°)
1.47560461333319e+006	(8.06270840833525e+001dB,9.42474905051309e+001°)
1.50997586020100e+006	(8.04284964488355e+001dB,9.41522457150119e+001°)
1.54514771625679e+006	(8.02298524080954e+001dB,9.40590263882123e+001°)
1.58113883008418e+006	(8.00311529745875e+001dB,9.39677931483967e+001°)
1.61796828464813e+006	(7.98323992283171e+001dB,9.38785080741303e+001°)
1.65565560741295e+006	(7.96335923223705e+001dB,9.37911345255674e+001°)
1.69422078069600e+006	(7.94347334854440e+001dB,9.37056369773071e+001°)
1.73368425226265e+006	(7.92358240208113e+001dB,9.36219808615047e+001°)
1.77406694616787e+006	(7.90368653022544e+001dB,9.35401324244115e+001°)
1.81539027385050e+006	(7.88378587675321e+001dB,9.34600585985742e+001°)
1.85767614548585e+006	(7.86388059099681e+001dB,9.33817268920105e+001°)
1.90094698160280e+006	(7.84397082687291e+001dB,9.33051052948414e+001°)
1.94522572497139e+006	(7.82405674183122e+001dB,9.32301622031469e+001°)
1.99053585276748e+006	(7.80413849577108e+001dB,9.31568663592245e+001°)
2.03690138902055e+006	(7.78421624996521e+001dB,9.30851868069969e+001°)
2.08434691735167e+006	(7.76429016602293e+001dB,9.30150928610096e+001°)
2.13289759400795e+006	(7.74436040491774e+001dB,9.29465540872847e+001°)
2.18257916120082e+006	(7.72442712609724e+001dB,9.28795402942325e+001°)
2.23341796075480e+006	(7.70449048668721e+001dB,9.28140215318367e+001°)
2.28544094807436e+006	(7.68455064079623e+001dB,9.27499680974214e+001°)
2.33867570643598e+006	(7.66460773892273e+001dB,9.26873505464370e+001°)
2.39315046161318e+006	(7.64466192746296e+001dB,9.26261397068695e+001°)
2.44889409684222e+006	(7.62471334831532e+001dB,9.25663066960548e+001°)
2.50593616813635e+006	(7.60476213857486e+001dB,9.25078229388626e+001°)
2.56430691995681e+006	(7.58480843031031e+001dB,9.24506601863941e+001°)
2.62403730124885e+006	(7.56485235041514e+001dB,9.23947905345010e+001°)
2.68515898185125e+006	(7.54489402052417e+001dB,9.23401864415884e+001°)
2.74770436928811e+006	(7.52493355698699e+001dB,9.22868207452948e+001°)
2.81170662595173e+006	(7.50497107088988e+001dB,9.22346666777595e+001°)
2.87719968668577e+006	(7.48500666811860e+001dB,9.21836978792868e+001°)
2.94421827677793e+006	(7.46504044945457e+001dB,9.21338884102926e+001°)
3.01279793037177e+006	(7.44507251069825e+001dB,9.20852127614906e+001°)
3.08297500930739e+006	(7.42510294281361e+001dB,9.20376458623202e+001°)
3.15478672240095e+006	(7.40513183208878e+001dB,9.19911630876632e+001°)
3.22827114517326e+006	(7.38515926030840e+001dB,9.19457402629201e+001°)
3.30346724003796e+006	(7.36518530493375e+001dB,9.19013536675427e+001°)
3.38041487695989e+006	(7.34521003928764e+001dB,9.18579800371278e+001°)
3.45915485459466e+006	(7.32523353274115e+001dB,9.18155965641898e+001°)
3.53972892192067e+006	(7.30525585090026e+001dB,9.17741808977276e+001°)
3.62217980037493e+006	(7.28527705579026e+001dB,9.17337111417068e+001°)
3.70655120650457e+006	(7.26529720603679e+001dB,9.16941658525713e+001°)
3.79288787514590e+006	(7.24531635704224e+001dB,9.16555240358944e+001°)
3.88123558314344e+006	(7.22533456115663e+001dB,9.16177651422763e+001°)
3.97164117362138e+006	(7.20535186784250e+001dB,9.15808690625839e+001°)
4.06415258082047e+006	(7.18536832383320e+001dB,9.15448161226260e+001°)
4.15881885551333e+006	(7.16538397328442e+001dB,9.15095870773450e+001°)
4.25569019101186e+006	(7.14539885791880e+001dB,9.14751631046033e+001°)
4.35481794978038e+006	(7.12541301716349e+001dB,9.14415257986325e+001°)
4.45625469066870e+006	(7.10542648828085e+001dB,9.14086571632069e+001°)
4.56005419677952e+006	(7.08543930649232e+001dB,9.13765396045983e+001°)
4.66627150398493e+006	(7.06545150509560e+001dB,9.13451559243600e+001°)
4.77496293010715e+006	(7.04546311557538e+001dB,9.13144893119858e+001°)
4.88618610477902e+006	(7.02547416770789e+001dB,9.12845233374800e+001°)
4.99999999999997e+006	(7.00548468965943e+001dB,9.12552419438760e+001°)
5.11646496140374e+006	(6.98549470807922e+001dB,9.12266294397293e+001°)
5.23564274025446e+006	(6.96550424818680e+001dB,9.11986704916144e+001°)
5.35759652618800e+006	(6.94551333385424e+001dB,9.11713501166448e+001°)
5.48239098071589e+006	(6.92552198768350e+001dB,9.11446536750378e+001°)
5.61009227150978e+006	(6.90553023107914e+001dB,9.11185668627388e+001°)
5.74076810748438e+006	(6.88553808431662e+001dB,9.10930757041202e+001°)
5.87448777469761e+006	(6.86554556660653e+001dB,9.10681665447661e+001°)
6.01132217308702e+006	(6.84555269615494e+001dB,9.10438260443530e+001°)
6.15134385406187e+006	(6.82555949022003e+001dB,9.10200411696339e+001°)
6.29462705897079e+006	(6.80556596516541e+001dB,9.09967991875336e+001°)
6.44124775846563e+006	(6.78557213651011e+001dB,9.09740876583594e+001°)
6.59128369278199e+006	(6.76557801897562e+001dB,9.09518944291324e+001°)
6.74481441295822e+006	(6.74558362653010e+001dB,9.09302076270410e+001°)
6.90192132301438e+006	(6.72558897242989e+001dB,9.09090156530211e+001°)
7.06268772311372e+006	(6.70559406925856e+001dB,9.08883071754625e+001°)
7.22719885372959e+006	(6.68559892896368e+001dB,9.08680711240435e+001°)
7.39554194084099e+006	(6.66560356289133e+001dB,9.08482966836938e+001°)
7.56780624218099e+006	(6.64560798181859e+001dB,9.08289732886856e+001°)
7.74408309456235e+006	(6.62561219598417e+001dB,9.08100906168519e+001°)
7.92446596230551e+006	(6.60561621511720e+001dB,9.07916385839322e+001°)
8.10905048679459e+006	(6.58562004846431e+001dB,9.07736073380428e+001°)
8.29793453718774e+006	(6.56562370481524e+001dB,9.07559872542718e+001°)
8.49121826230866e+006	(6.54562719252686e+001dB,9.07387689293964e+001°)
8.68900414374682e+006	(6.52563051954591e+001dB,9.07219431767209e+001°)
8.89139705019455e+006	(6.50563369343035e+001dB,9.07055010210329e+001°)
9.09850429304985e+006	(6.48563672136961e+001dB,9.06894336936771e+001°)
9.31043568331427e+006	(6.46563961020357e+001dB,9.06737326277426e+001°)
9.52730358981617e+006	(6.44564236644060e+001dB,9.06583894533635e+001°)
9.74922299879016e+006	(6.42564499627450e+001dB,9.06433959931291e+001°)
9.97631157484433e+006	(6.40564750560057e+001dB,9.06287442576021e+001°)
1.00000000000000e+007	(6.40358776611265e+001dB,9.06272542341653e+001°)
