Freq.	V(vout)
1.00000000000000e+000	(1.99981547281603e+001dB,1.79998789971858e+002°)
1.11120000000000e+004	(1.97772637302938e+001dB,1.66774669495657e+002°)
2.22230000000000e+004	(1.91749081857945e+001dB,1.54729835098994e+002°)
3.33340000000000e+004	(1.83258884977855e+001dB,1.44500716218440e+002°)
4.44450000000000e+004	(1.73612488154498e+001dB,1.36142559527159e+002°)
5.55560000000000e+004	(1.63704957309440e+001dB,1.29401670824381e+002°)
6.66670000000000e+004	(1.54031156749161e+001dB,1.23949988085025e+002°)
7.77780000000000e+004	(1.44821792541587e+001dB,1.19492732711228e+002°)
8.88890000000000e+004	(1.36160175059396e+001dB,1.15796204689700e+002°)
1.00000000000000e+005	(1.28054985848500e+001dB,1.12683930351706e+002°)
