Freq.	V(vin)/I(R5)
5.00000000000000e+002	(7.39806172467162e+001dB,-1.79712120093870e+002°)
5.11646496140377e+002	(7.39806332505071e+001dB,-1.79705415374725e+002°)
5.23564274025450e+002	(7.39806499754052e+001dB,-1.79698554545632e+002°)
5.35759652618803e+002	(7.39806675063987e+001dB,-1.79691533973047e+002°)
5.48239098071592e+002	(7.39806858314916e+001dB,-1.79684349942567e+002°)
5.61009227150982e+002	(7.39807050345691e+001dB,-1.79676998650234e+002°)
5.74076810748441e+002	(7.39807251507031e+001dB,-1.79669476205659e+002°)
5.87448777469765e+002	(7.39807462143470e+001dB,-1.79661778628339e+002°)
6.01132217308706e+002	(7.39807682593070e+001dB,-1.79653901845596e+002°)
6.15134385406191e+002	(7.39807913669347e+001dB,-1.79645841688512e+002°)
6.29462705897083e+002	(7.39808155696490e+001dB,-1.79637593893579e+002°)
6.44124775846567e+002	(7.39808408991260e+001dB,-1.79629154098666e+002°)
6.59128369278203e+002	(7.39808673862642e+001dB,-1.79620517840786e+002°)
6.74481441295827e+002	(7.39808951575949e+001dB,-1.79611680549492e+002°)
6.90192132301442e+002	(7.39809242423506e+001dB,-1.79602637552862e+002°)
7.06268772311377e+002	(7.39809546688714e+001dB,-1.79593384071095e+002°)
7.22719885372964e+002	(7.39809865610114e+001dB,-1.79583915209449e+002°)
7.39554194084103e+002	(7.39810199451995e+001dB,-1.79574225964674e+002°)
7.56780624218104e+002	(7.39810548950652e+001dB,-1.79564311215743e+002°)
7.74408309456240e+002	(7.39810914831669e+001dB,-1.79554165723452e+002°)
7.92446596230556e+002	(7.39811298291665e+001dB,-1.79543784125231e+002°)
8.10905048679465e+002	(7.39811699551034e+001dB,-1.79533160939915e+002°)
8.29793453718780e+002	(7.39812119782378e+001dB,-1.79522290554954e+002°)
8.49121826230872e+002	(7.39812559663193e+001dB,-1.79511167231130e+002°)
8.68900414374687e+002	(7.39813020339770e+001dB,-1.79499785094426e+002°)
8.89139705019461e+002	(7.39813502944316e+001dB,-1.79488138135608e+002°)
9.09850429304991e+002	(7.39814007629790e+001dB,-1.79476220213031e+002°)
9.31043568331433e+002	(7.39814536944993e+001dB,-1.79464025029418e+002°)
9.52730358981623e+002	(7.39815090529049e+001dB,-1.79451546160529e+002°)
9.74922299879022e+002	(7.39815670415465e+001dB,-1.79438777019778e+002°)
9.97631157484439e+002	(7.39816277655551e+001dB,-1.79425710875538e+002°)
1.02086897233476e+003	(7.39816913764372e+001dB,-1.79412340838757e+002°)
1.04464806542702e+003	(7.39817579755362e+001dB,-1.79398659865887e+002°)
1.06898104475112e+003	(7.39818276621683e+001dB,-1.79384660752405e+002°)
1.09388081197478e+003	(7.39819006782102e+001dB,-1.79370336118838e+002°)
1.11936056928417e+003	(7.39819771186385e+001dB,-1.79355678427453e+002°)
1.14543382638389e+003	(7.39820571725629e+001dB,-1.79340679961530e+002°)
1.17211440765996e+003	(7.39821409784360e+001dB,-1.79325332832073e+002°)
1.19941645950974e+003	(7.39822287203966e+001dB,-1.79309628966802e+002°)
1.22735445784251e+003	(7.39823206281533e+001dB,-1.79293560105890e+002°)
1.25594321575479e+003	(7.39824168321759e+001dB,-1.79277117809646e+002°)
1.28519789138443e+003	(7.39825175564812e+001dB,-1.79260293439037e+002°)
