Freq.	V(vin)/I(R5)
5.00000000000000e+002	(7.39806172467162e+001dB,-1.79712120093870e+002°)
5.60000000000000e+004	(7.63565680055039e+001dB,-1.61457046219680e+002°)
1.11500000000000e+005	(7.81969857599351e+001dB,-1.63130902213965e+002°)
1.67000000000000e+005	(7.89514289883235e+001dB,-1.66659306995937e+002°)
2.22500000000000e+005	(7.92922828635271e+001dB,-1.69327040934878e+002°)
2.78000000000000e+005	(7.94677319555661e+001dB,-1.71232548277046e+002°)
3.33500000000000e+005	(7.95675424312210e+001dB,-1.72627202296937e+002°)
3.89000000000000e+005	(7.96285218844549e+001dB,-1.73683255057705e+002°)
4.44500000000000e+005	(7.96676580448404e+001dB,-1.74508240144618e+002°)
5.00000000000000e+005	(7.96935889219314e+001dB,-1.75169963414632e+002°)
