Freq.	V(vout)
9.00000000000000e+003	(1.88497118875583e+001dB,-5.68319470904222e+000°)
1.13303287061475e+004	(1.88273567428352e+001dB,-7.14312096510195e+000°)
1.42640387321500e+004	(1.87921587996022e+001dB,-8.96969973845794e+000°)
1.79573608347199e+004	(1.87369480172457e+001dB,-1.12469457593581e+001°)
2.26069778835862e+004	(1.86508486761761e+001dB,-1.40705493729601e+001°)
2.84604989415154e+004	(1.85177715482292e+001dB,-1.75424291511414e+001°)
3.58296453498148e+004	(1.83148192496212e+001dB,-2.17582835349009e+001°)
4.51068510264545e+004	(1.80112886694534e+001dB,-2.67851934024257e+001°)
5.67861610032174e+004	(1.75695865051960e+001dB,-3.26293103143802e+001°)
7.14895411251854e+004	(1.69496843975091e+001dB,-3.92020349223078e+001°)
9.00000000000000e+004	(1.61176322231730e+001dB,-4.63048246900765e+001°)
1.13303287061475e+005	(1.50555335886949e+001dB,-5.36555247994040e+001°)
1.42640387321500e+005	(1.37674429810646e+001dB,-6.09583239158077e+001°)
1.79573608347199e+005	(1.22769900453487e+001dB,-6.79854598144089e+001°)
2.26069778835862e+005	(1.06181467084566e+001dB,-7.46283204886981e+001°)
2.84604989415154e+005	(8.82458758384477e+000dB,-8.09015079947209e+001°)
3.58296453498148e+005	(6.92196753728002e+000dB,-8.69142688135865e+001°)
4.51068510264545e+005	(4.92396437766955e+000dB,-9.28315268591603e+001°)
5.67861610032175e+005	(2.83086980869961e+000dB,-9.88365739516321e+001°)
7.14895411251854e+005	(6.29564755067821e-001dB,-1.05095866331628e+002°)
9.00000000000000e+005	(-1.70514899677099e+000dB,-1.11721858570669e+002°)
